Image_Metadata_Plate,Image_Metadata_Well,Image_Metadata_Site,Image_Metadata_isSaturated,Image_Metadata_isBlurry
24666,a01,1,0,0
24666,a01,2,0,0
24666,a01,3,0,0
24666,a01,4,0,0
24666,a01,5,0,0
24666,a01,6,0,0
24666,a02,1,0,0
24666,a02,2,0,0
24666,a02,3,0,0
24666,a02,4,0,0
24666,a02,5,0,0
24666,a02,6,0,0
24666,a03,1,0,0
24666,a03,2,0,0
24666,a03,3,0,0
24666,a03,4,0,0
24666,a03,5,0,0
24666,a03,6,0,0
24666,a04,1,0,0
24666,a04,2,0,0
24666,a04,3,0,0
24666,a04,4,0,0
24666,a04,5,0,0
24666,a04,6,0,0
24666,a05,1,0,0
24666,a05,2,0,0
24666,a05,3,0,0
24666,a05,4,0,0
24666,a05,5,0,0
24666,a05,6,0,0
24666,a06,1,0,0
24666,a06,2,0,0
24666,a06,3,0,0
24666,a06,4,0,0
24666,a06,5,0,0
24666,a06,6,0,0
24666,a07,1,0,0
24666,a07,2,0,0
24666,a07,3,0,0
24666,a07,4,0,0
24666,a07,5,0,0
24666,a07,6,0,0
24666,a08,1,0,0
24666,a08,2,0,0
24666,a08,3,0,0
24666,a08,4,0,0
24666,a08,5,0,0
24666,a08,6,0,0
24666,a09,1,0,0
24666,a09,2,0,0
24666,a09,3,0,0
24666,a09,4,0,0
24666,a09,5,0,0
24666,a09,6,0,0
24666,a10,1,0,0
24666,a10,2,0,0
24666,a10,3,0,0
24666,a10,4,0,0
24666,a10,5,0,0
24666,a10,6,0,0
24666,a11,1,0,0
24666,a11,2,0,0
24666,a11,3,0,0
24666,a11,4,0,0
24666,a11,5,0,0
24666,a11,6,0,0
24666,a12,1,0,0
24666,a12,2,1,0
24666,a12,3,0,0
24666,a12,4,0,0
24666,a12,5,1,0
24666,a12,6,0,0
24666,a13,1,0,0
24666,a13,2,0,0
24666,a13,3,0,0
24666,a13,4,0,0
24666,a13,5,0,0
24666,a13,6,0,0
24666,a14,1,0,0
24666,a14,2,0,0
24666,a14,3,0,0
24666,a14,4,0,0
24666,a14,5,0,0
24666,a14,6,0,0
24666,a15,1,0,0
24666,a15,2,0,0
24666,a15,3,0,0
24666,a15,4,0,0
24666,a15,5,0,0
24666,a15,6,0,0
24666,a16,1,0,0
24666,a16,2,0,0
